December
Cycle,Total Number of PODs Requested on Cycle,Number of PODs with Readings - Entire Config (On Cycle),Total Number of PODs Requested - Exceptions,Number of PODs EXC with Readings Provided for Entire Configuration,Estimated Readings Provided - Exceptions,Actual Readings Provided - Exceptions,No Readings Provided at All (Exceptions)
1,,,,,,,
2,,,,,,,
3,39036,38864,74,40,34,7,33
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
""
